ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime
120.0,Whiskey Tango Foxtrot,R,3/3/2016 0:00,Robert Carlock,"John Requa, Glenn Ficarra","Comedy, Drama","$23,083,334.00 ",111 minutes
121.0,The Gift,R,8/6/2015 0:00,Joel Edgerton,Joel Edgerton,Mystery & Suspense,"$58,978,653.00 ",108 minutes
122.0,Chronicle,PG-13,2/2/2012 0:00,"Josh Trank, Max Landis","Joshua Trank, Josh Trank","Art House & International, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy","$60,800,000.00 ",83 minutes
123.0,Vacation,R,7/28/2015 0:00,"Jonathan M. Goldstein, Jonathan Goldstein, John Francis Daley","Jonathan M. Goldstein, Jonathan Goldstein, John Francis Daley","Action & Adventure, Comedy","$104,384,188.00 ",99 minutes
124.0,Jessabelle,PG-13,11/6/2014 0:00,"Ben Garant, Robert Ben Garant",Kevin Greutert,"Drama, Horror",-,90 minutes
125.0,Alien Outpost,NR,1/29/2015 0:00,"Blake Clifton, Jabbar Raisani",Jabbar Raisani,Action & Adventure,-,90 minutes
126.0,Terminator Genisys,PG-13,6/30/2015 0:00,"Laeta Kalogridis, Patrick Lussier",Alan Taylor,Action & Adventure,"$440,603,537.00 ",119 minutes
127.0,The Hobbit: The Desolation of Smaug,PG-13,12/12/2013 0:00,"J.R.R. Tolkien, Philippa Boyens, Fran Walsh, Guillermo del Toro, Peter Jackson",Peter Jackson,"Action & Adventure, Science Fiction & Fantasy","$958,400,000.00 ",161 minutes
128.0,The Right Kind of Wrong,R,3/13/2014 0:00,"Megan Martin, Tim Sandlin",Jeremiah S. Chechik,"Comedy, Romance","$2,022.00 ",97 minutes
129.0,Holy Motors,NR,10/16/2012 0:00,Leos Carax,Leos Carax,"Drama, Science Fiction & Fantasy, Special Interest","$641,054.00 ",115 minutes
130.0,The Five-Year Engagement,R,4/26/2012 0:00,"Jason Segel, Nicholas Stoller",Nicholas Stoller,Comedy,"$28,644,770.00 ",124 minutes
131.0,Rock the Kasbah,R,10/22/2015 0:00,Mitch Glazer,Barry Levinson,Drama,"$3,020,664.00 ",100 minutes
132.0,The Good Lie,PG-13,10/2/2014 0:00,"Shawn Linden, Margaret Nagle","Shawn Linden, Philippe Falardeau","Drama, Mystery & Suspense",-,110 minutes
133.0,Cooties,R,9/17/2015 0:00,"Leigh Whannell, Ian Brennan","Cary Murnion, Jonathan Milott","Comedy, Horror",-,87 minutes
134.0,Rampart,R,2/9/2012 0:00,"James Ellroy, Oren Moverman",Oren Moverman,"Action & Adventure, Drama, Mystery & Suspense","$969,239.00 ",107 minutes
135.0,Mama,PG-13,1/17/2013 0:00,"Neil Cross, Andy Muschietti, Barbara Muschietti",Andy Muschietti,"Art House & International, Horror","$71,588,220.00 ",100 minutes
136.0,The Purge,R,6/6/2013 0:00,James DeMonaco,James DeMonaco,"Mystery & Suspense, Science Fiction & Fantasy","$64,400,000.00 ",85 minutes
137.0,Big Eyes,PG-13,12/24/2014 0:00,"Larry Karaszewski, Scott Alexander",Tim Burton,Drama,"$28,883,511.00 ",106 minutes
138.0,Ant-Man,PG-13,7/16/2015 0:00,"Edgar Wright, Stan Lee, Joe Cornish, Paul Rudd, Adam McKay, Larry Lieber, Jack Kirby",Peyton Reed,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy","$518,178,306.00 ",115 minutes
139.0,American Heist,R,7/23/2015 0:00,Raul Inglis,Sarik Andreasyan,"Action & Adventure, Drama",-,94 minutes
140.0,The Kings of Summer,R,5/30/2013 0:00,Chris Galletta,Jordan Vogt-Roberts,Comedy,"$1,300,000.00 ",95 minutes
141.0,Barbie: Princess Charm School,PG,12/2/2012 0:00,"Steve Granat, Elise Allen, Cynde Clark","Zeke Norton, Ezekiel Norton","Animation, Kids & Family",-,86 minutes
142.0,"Love, Rosie",R,2/5/2015 0:00,Juliette Towhidi,Christian Ditter,"Comedy, Romance","$4,439,431.00 ",102 minutes
143.0,Neighbors,R,5/8/2014 0:00,"Brendan O'Brien, Andrew Jay Cohen, Andrew J. Cohen",Nicholas Stoller,Comedy,"$268,157,400.00 ",97 minutes
144.0,Chinese Zodiac,PG-13,10/17/2013 0:00,"Edward Tang, Stanley Tong, Frankie Chan Fan-Kei, Jackie Chan",Jackie Chan,Action & Adventure,-,141 minutes
145.0,Man on a Ledge,PG-13,1/26/2012 0:00,Pablo F. Fenjves,Asger Leth,"Drama, Mystery & Suspense","$18,400,000.00 ",102 minutes
146.0,A Case of You,R,11/5/2013 0:00,"Justin Long, Keir O'Donnell, Christian Long",Kat Coiro,"Comedy, Romance","$4,187.00 ",91 minutes
147.0,Butter,R,10/4/2012 0:00,Jason A. Micallef,Jim Field Smith,"Comedy, Drama","$70,931.00 ",91 minutes
148.0,So Undercover,PG-13,10/4/2012 0:00,"Allan Loeb, Steven Pearl, Steve Pearl",Tom Vaughan,"Action & Adventure, Comedy",-,96 minutes
149.0,The Devil Inside,R,1/5/2012 0:00,"Matthew Peterman, William Brent Bell",William Brent Bell,Horror,"$53,245,055.00 ",83 minutes
150.0,Enemy,R,3/13/2014 0:00,"Javier Gull√≥n, Jos√© Saramago",Denis Villeneuve,Mystery & Suspense,-,90 minutes
151.0,Sicario,R,10/1/2015 0:00,Taylor Sheridan,Denis Villeneuve,"Action & Adventure, Drama, Mystery & Suspense","$84,025,816.00 ",121 minutes
152.0,Bounty Killer,R,9/5/2013 0:00,"Jason Dodson, Colin Ebeling, Jason Netter, Henry Saine",Henry Saine,"Action & Adventure, Drama, Mystery & Suspense",-,92 minutes
153.0,Empire State,R,8/29/2013 0:00,Adam Mazer,Dito Montiel,Drama,"$3,639,345.00 ",94 minutes
154.0,The Loft,R,1/29/2015 0:00,"Bart De Pauw, Wesley Strick",Erik Van Looy,"Drama, Mystery & Suspense",-,103 minutes
155.0,The Descendants,R,11/17/2011 0:00,"Jim Rash, Nat Faxon, Alexander Payne",Alexander Payne,"Comedy, Drama","$78,500,000.00 ",115 minutes
156.0,Vehicle 19,R,6/13/2013 0:00,Mukunda Michael Dewil,Mukunda Michael Dewil,Mystery & Suspense,-,85 minutes
157.0,Vampire Academy,PG-13,2/6/2014 0:00,Daniel Waters,"Mark Waters, Mark Waters (VIII)","Action & Adventure, Comedy, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance",-,105 minutes
158.0,Final Destination 5,R,8/11/2011 0:00,Eric Heisserer,Steven Quale,Horror,"$42,500,000.00 ",92 minutes
159.0,Amateur Night,NR,8/4/2016 0:00,"Joe Syracuse, Lisa Addario","Joe Syracuse, Lisa Addario",Comedy,-,93 minutes
160.0,Contraband,R,1/12/2012 0:00,Aaron Guzikowski,Baltasar Korm√°kur,"Action & Adventure, Mystery & Suspense","$66,489,425.00 ",109 minutes
161.0,Winnie the Pooh,G,7/14/2011 0:00,"Don Dougherty, Stephen John Anderson, Clio Chiang, Stephen J. Anderson, Brian Kesinger, Stephen Anderson, Kendelle Hoyer, Don Hall, Jeremy Spears, A.A. Milne, Nicole Mitchell","Stephen Anderson, Don Hall, Stephen John Anderson, Stephen J. Anderson","Animation, Kids & Family","$26,687,172.00 ",73 minutes
162.0,Memories of the Sword,15Ï?∏ Ï?¥Ï?? Í¥?Î??Í∞?,8/27/2015 0:00,"Ah-reum Choi, Choi Ah-reum, Park Heung-shik, Heung-Sik Park","Park Heung-shik, Heung-Sik Park","Action & Adventure, Drama","$109,972.00 ",121 minutes
163.0,The Muppets,PG,11/22/2011 0:00,"Jason Segel, Nicholas Stoller",James Bobin,"Comedy, Kids & Family","$88,625,922.00 ",102 minutes
164.0,The Invitation,Premiere,4/7/2016 0:00,"Matt Manfredi, Phil Hay",Karyn Kusama,Mystery & Suspense,"$231,703.00 ",100 minutes
165.0,A Perfect Day,R,1/14/2016 0:00,"Diego Farias, Fernando Le√≥n de Aranoa",Fernando Le√≥n de Aranoa,"Art House & International, Drama","$1,702,433.00 ",106 minutes
166.0,Jupiter Ascending,PG-13,2/5/2015 0:00,"Lilly Wachowski, Lana Wachowski, Andy Wachowski","Lilly Wachowski, Lana Wachowski, Andy Wachowski","Action & Adventure, Science Fiction & Fantasy","$183,987,723.00 ",125 minutes
167.0,Miss You Already,PG-13,11/5/2015 0:00,Morwenna Banks,Catherine Hardwicke,"Art House & International, Comedy, Drama, Romance",-,112 minutes
168.0,The Assassin,Theatrical,10/15/2015 0:00,"Hai Meng Hsieh, T'ien-wen Chu, Hou Hsiao-hsien, Hsiao-hsien Hou, Hai-Meng Hsieh, Cheng Ah","Hsiao-hsien Hou, Hou Hsiao-hsien","Action & Adventure, Art House & International, Drama",-,120 minutes
169.0,Spare Parts,PG-13,1/15/2015 0:00,"Elissa Matueda, Elissa Matsueda",Sean McNamara,"Drama, Kids & Family",-,114 minutes
170.0,Detention,R,4/12/2012 0:00,"Joseph Kahn, Mark Palermo, Peter Jurt, Marc Palermo","Claudia Jurt, Joseph Kahn, Peter Jurt","Comedy, Horror",-,93 minutes
171.0,Intruders,R,3/29/2012 0:00,"Jaime Marques, Nicol√°s Casariego",Juan Carlos Fresnadillo,"Horror, Mystery & Suspense","$64,727.00 ",100 minutes
172.0,The Diary of a Teenage Girl,R,8/6/2015 0:00,"Phoebe Gloeckner, Marielle Heller",Marielle Heller,Drama,"$1,477,002.00 ",102 minutes
173.0,Night Train to Lisbon,R,12/5/2013 0:00,"Greg Latter, Ulrich Herrmann",Bille August,"Mystery & Suspense, Romance",-,109 minutes
174.0,The Voices,R,2/5/2015 0:00,"Michael Perry, Michael R. Perry",Marjane Satrapi,Comedy,-,107 minutes
175.0,Hungry Hearts,Theatrical (limited),6/4/2015 0:00,Saverio Costanzo,Saverio Costanzo,Drama,"$6,921.00 ",109 minutes
176.0,Whiplash,R,10/9/2014 0:00,Damien Chazelle,Damien Chazelle,Drama,"$13,993,092.00 ",106 minutes
177.0,The One I Love,R,8/21/2014 0:00,Justin Lader,Charlie McDowell,"Comedy, Drama","$511,635.00 ",91 minutes
178.0,The Captive,R,12/8/2014 0:00,"David Fraser, Atom Egoyan",Atom Egoyan,Mystery & Suspense,"$1,075,178.00 ",112 minutes
179.0,Return to Nim's Island,PG,3/18/2013 0:00,"Cathy Randall, Ray Boseley",Brendan Maher,"Art House & International, Kids & Family",-,90 minutes
180.0,Dark Places,R,8/6/2015 0:00,"Gillian Flynn, Gilles Paquet-Brenner",Gilles Paquet-Brenner,"Drama, Mystery & Suspense","$208,588.00 ",114 minutes
181.0,What If,PG-13,8/7/2014 0:00,Elan Mastai,Michael Dowse,Comedy,"$7,847,000.00 ",102 minutes
182.0,The Angry Birds Movie,PG,5/19/2016 0:00,Jon Vitti,"Clay Kaytis, Fergal Reilly","Animation, Kids & Family","$107,506,776.00 ",95 minutes
183.0,The Adventurer: The Curse of the Midas Box,PG,1/9/2014 0:00,"Matthew Huffman, Christian Taylor",Jonathan Newman,"Action & Adventure, Kids & Family, Science Fiction & Fantasy","$6,399.00 ",98 minutes
184.0,Wolf Creek 2,R,5/15/2014 0:00,"Aaron Sterns, Greg McLean",Greg McLean,Horror,"$9,630,444.00 ",106 minutes
185.0,Reasonable Doubt,R,1/16/2014 0:00,Peter A. Dowling,"Peter P. Croudins, Peter Howitt","Drama, Mystery & Suspense",-,91 minutes
186.0,Kill for Me,R,2/12/2013 0:00,"Michael Greenspan, Christopher Dodd, Christian Forte",Michael Greenspan,"Art House & International, Drama, Mystery & Suspense",-,95 minutes
187.0,Pompeii,PG-13,2/20/2014 0:00,"Lee Batchelor, Janet Scott Batchler, Michael Robert Johnson, Lee Batchler, Janet Scott Batchelor",Paul W.S. Anderson,"Action & Adventure, Drama, Mystery & Suspense","$117,831,631.00 ",105 minutes
188.0,A Very Harold & Kumar Christmas,R,11/3/2011 0:00,"Hayden Schlossberg, Jon Hurwitz",Todd Strauss-Schulson,Comedy,"$34,400,000.00 ",91 minutes
189.0,I Give It a Year,R,8/8/2013 0:00,Dan Mazer,Dan Mazer,"Art House & International, Comedy, Romance","$28,234,657.00 ",97 minutes
190.0,This Means War,PG-13,2/13/2012 0:00,"Timothy Dowling, Simon Kinberg",McG,"Action & Adventure, Comedy, Romance","$54,758,461.00 ",98 minutes
191.0,The Giver,PG-13,8/14/2014 0:00,"Michael Mitnick, Robert B. Weide, Lois Lowry, Vadim Perelman",Phillip Noyce,"Drama, Science Fiction & Fantasy","$66,980,456.00 ",140 minutes
192.0,Honeymoon,R,9/11/2014 0:00,"Leigh Janiak, Phil Graziadei",Leigh Janiak,Drama,"$9,168.00 ",87 minutes
193.0,The Watch,R,7/26/2012 0:00,"Evan Goldberg, Justin Theroux, Jared Stern, Seth Rogen",Akiva Schaffer,"Comedy, Science Fiction & Fantasy","$34,100,000.00 ",101 minutes
194.0,Some Velvet Morning,R,12/12/2013 0:00,Neil LaBute,Neil LaBute,Drama,"$6,420.00 ",82 minutes
195.0,Space Station 76,R,9/18/2014 0:00,"Jack Plotnick, Kali Rocha, Sam Pancake, Jennifer Elise Cox, Michael Stoyanov",Jack Plotnick,"Comedy, Drama, Science Fiction & Fantasy",-,94 minutes
196.0,Broken City,R,1/17/2013 0:00,Brian Tucker,Allen Hughes,Drama,"$19,600,000.00 ",108 minutes
197.0,Sharknado,NR,8/2/2013 0:00,Thunder Levin,Anthony C. Ferrante,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy, Television",-,90 minutes
198.0,Fed Up,PG,5/8/2014 0:00,"Mark Monroe, Stephanie Soechtig",Stephanie Soechtig,"Documentary, Special Interest, Sports & Fitness","$1,538,898.00 ",92 minutes
199.0,The Impossible,PG-13,12/20/2012 0:00,Sergio G. S√°nchez,"Juan Antonio Bayona, J.A. Bayona","Action & Adventure, Drama","$18,996,755.00 ",113 minutes
200.0,The Peanuts Movie,G,11/5/2015 0:00,"Craig Schulz, Bryan Schulz, Charles M. Schulz, Cornelius Uliano",Steve Martino,"Animation, Kids & Family","$246,233,113.00 ",92 minutes
201.0,Amy,R,7/2/2015 0:00,Asif Kapadia,Asif Kapadia,"Art House & International, Documentary, Musical & Performing Arts, Special Interest","$8,413,144.00 ",128 minutes
202.0,Let's Be Cops,R,8/12/2014 0:00,"Luke Greenfield, Nicholas Thomas",Luke Greenfield,"Action & Adventure, Comedy","$136,621,271.00 ",109 minutes
203.0,Rob the Mob,R,3/20/2014 0:00,Jonathan Fernandez,Raymond De Felitta,"Comedy, Drama","$206,909.00 ",104 minutes
204.0,Taken 3,PG-13,1/8/2015 0:00,"Robert Mark Kamen, Luc Besson",Olivier Megaton,Action & Adventure,"$325,771,424.00 ",93 minutes
205.0,Everly,R,2/26/2015 0:00,Yale Hannon,Joe Lynch,Mystery & Suspense,-,92 minutes
206.0,Son of a Gun,R,1/22/2015 0:00,Julius Avery,Julius Avery,Drama,-,108 minutes
207.0,Brick Mansions,PG-13,4/24/2014 0:00,"Bibi Naceri, Robert Mark Kamen, Luc Besson",Camille Delamarre,"Action & Adventure, Drama","$68,896,829.00 ",90 minutes
208.0,The Last Circus,R,8/18/2011 0:00,√?lex de la Iglesia,√?lex de la Iglesia,"Art House & International, Comedy, Drama","$3,218,666.00 ",107 minutes
209.0,Going Clear: Scientology and the Prison of Belief,Theatrical,3/12/2015 0:00,Alex Gibney,Alex Gibney,Documentary,-,120 minutes
210.0,The Zero Theorem,R,9/18/2014 0:00,Pat Rushin,Terry Gilliam,"Drama, Science Fiction & Fantasy","$770,706.00 ",107 minutes
211.0,Burnt,R,10/29/2015 0:00,Steven Knight,John Wells,Comedy,"$36,606,743.00 ",100 minutes
212.0,Interrogation,R,9/20/2016 0:00,"Michael Finch, Adam Rodin",Stephen Reynolds,"Action,Thriller",-,93 minutes
213.0,A Hijacking,R,6/20/2013 0:00,Tobias Lindholm,Tobias Lindholm,Mystery & Suspense,-,99 minutes
214.0,The Book Thief,PG-13,11/7/2013 0:00,Michael Petroni,Brian Percival,Drama,"$76,586,316.00 ",130 minutes
215.0,Ten Thousand Saints,R,8/13/2015 0:00,"Robert Pulcini, Shari Springer Berman","Robert Pulcini, Shari Springer Berman","Comedy, Drama",-,113 minutes
216.0,Focus,R,2/26/2015 0:00,"John Requa, Glenn Ficarra","John Requa, Glenn Ficarra","Comedy, Drama","$153,962,963.00 ",104 minutes
217.0,Norm of the North,PG,1/14/2016 0:00,"Derek Elliott, Daniel Altiere, Malcolm T. Goldman, Jack Donaldson, Steven Altiere",Trevor Wall,"Action & Adventure, Animation, Comedy","$17,062,499.00 ",86 minutes
218.0,Rush,R,9/26/2013 0:00,Peter Morgan,Ron Howard,"Action & Adventure, Drama","$90,247,624.00 ",123 minutes
219.0,Project X,R,3/1/2012 0:00,"Michael Bacall, Matt Drake",Nima Nourizadeh,"Comedy, Drama, Science Fiction & Fantasy","$53,400,000.00 ",88 minutes
220.0,A Common Man,PG-13,3/14/2013 0:00,"Chandran Rutnam, Neeraj Pandey",Chandran Rutnam,"Action & Adventure, Drama, Mystery & Suspense",-,86 minutes
221.0,The Humbling,R,1/22/2015 0:00,"Buck Henry, Michael Zebede, Michal Zebede",Barry Levinson,Drama,-,102 minutes
222.0,Pain & Gain,R,4/25/2013 0:00,"Stephen McFeely, Christopher Markus",Michael Bay,Action & Adventure,"$49,300,000.00 ",129 minutes
223.0,Tinker Tailor Soldier Spy,R,12/8/2011 0:00,"Peter Straughan, Bridget O'Connor",Tomas Alfredson,"Drama, Mystery & Suspense","$20,200,000.00 ",128 minutes
224.0,The Odd Life of Timothy Green,PG,8/14/2012 0:00,"Peter Hedges, Ahmet Zappa",Peter Hedges,"Comedy, Science Fiction & Fantasy","$51,853,450.00 ",100 minutes
225.0,My Big Fat Greek Wedding 2,PG-13,3/24/2016 0:00,Nia Vardalos,Kirk Jones,Comedy,"$88,923,251.00 ",94 minutes
226.0,Vikingdom,NR,10/3/2013 0:00,James Coyne,Yusry Abdul Halim,Action & Adventure,-,114 minutes
227.0,Special Forces,R,10/11/2012 0:00,"Michael Cooper, St√©phane Rybojad",St√©phane Rybojad,"Action & Adventure, Drama","$10,759.00 ",107 minutes
228.0,A Hologram for the King,R,4/21/2016 0:00,Tom Tykwer,Tom Tykwer,Drama,-,90 minutes
229.0,The Tree of Life,PG-13,5/26/2011 0:00,Terrence Malick,Terrence Malick,"Action & Adventure, Drama, Science Fiction & Fantasy","$13,303,319.00 ",139 minutes
230.0,RoboCop,PG-13,2/11/2014 0:00,"Michael Miner, Ed Neumeier, Joshua Zetumer, Josh Zetumer, Nick Schenk",Jos√© Padilha,"Action & Adventure, Science Fiction & Fantasy","$239,379,423.00 ",117 minutes
231.0,Black Sea,R,1/22/2015 0:00,Dennis Kelly,Kevin Macdonald,"Action & Adventure, Drama, Mystery & Suspense","$1,171,559.00 ",115 minutes
232.0,Alex Cross,PG-13,10/18/2012 0:00,"Marc Moss, Kerry Williamson",Rob Cohen,"Action & Adventure, Mystery & Suspense","$25,863,915.00 ",101 minutes
233.0,A Royal Night Out,PG-13,12/3/2015 0:00,"Trevor DeSilva, Trevor De Silva, Kevin Hood",Julian Jarrold,"Art House & International, Drama, Mystery & Suspense, Romance","$228,136.00 ",97 minutes
234.0,Mr. Right,R,4/7/2016 0:00,Max Landis,Paco Cabezas,"Action & Adventure, Comedy, Romance",-,90 minutes
235.0,Olympus Has Fallen,R,3/21/2013 0:00,"Creighton Rothenberger, Katrin Benedikt",Antoine Fuqua,"Action & Adventure, Drama","$98,600,000.00 ",119 minutes
