_id,ltable_ID,rtable_ID,ltable_Title,ltable_ReleaseDate,ltable_Directors,ltable_Runtime,rtable_Title,rtable_ReleaseDate,rtable_Directors,rtable_Runtime,Match
25,3273,2,Cost of a Soul,5/19/11 0:00,Sean Kirkpatrick,90 minutes,Soul Surfer,4/8/11 0:00,Sean McNamara,106 minutes,0
149,2194,4,Grown Ups 2,7/11/13 0:00,Dennis Dugan,101 minutes,Grown Ups 2,7/12/13 0:00,Dennis Dugan,100 minutes,1
185,6478,7,Return to Sender,8/13/15 0:00,Fouad Mikati,105 minutes,Return to Sender,5/31/15 0:00,Fouad Mikati,95 minutes,1
187,1332,8,Prisoners,9/19/13 0:00,Denis Villeneuve,153 minutes,Prisoners,9/21/13 0:00,Denis Villeneuve,153 minutes,1
222,3214,12,Still Alice,1/15/15 0:00,"Wash Westmoreland, Richard Glatzer",99 minutes,Still Alice,12/5/14 0:00,"Wash Westmoreland, Richard Glatzer",99 minutes,1
261,3152,13,Storm Surfers 3D,6/13/13 0:00,"Chris Nelius, Justin McMillan, Christopher Nelius",95 minutes,3-D Sex and Zen: Extreme Ecstasy,4/14/11 0:00,Christopher Sun,118 minutes,0
413,7160,15,Devil's Due,1/16/14 0:00,"Matt Bettinelli-Olpin, Tyler Gillett",89 minutes,Devil's Due,1/17/14 0:00,"Matt Bettinelli-Olpin, Tyler Gillett",89 minutes,1
582,6523,19,Red Line,"Dec 31,9999",Robert Kirbyson,87 minutes,RED,10/14/10 0:00,Robert Schwentke,111 minutes,0
776,516,27,Now You See Me,5/30/13 0:00,Louis Leterrier,115 minutes,Now You See Me,5/31/13 0:00,Louis Leterrier,115 minutes,1
785,6655,29,The Face of Love,3/6/14 0:00,Arie Posin,92 minutes,The Face of Love,3/7/14 0:00,Arie Posin,92 minutes,1
797,583,32,Lego Scooby-Doo!: Haunted Hollywood,"Dec 31,9999",Rick Morales,75 minutes,Lego Scooby-Doo!: Haunted Hollywood,5/3/16 0:00,Rick Morales,75 minutes,1
808,3516,32,LEGO DC Comics Super Heroes: Justice League: Cosmic Clash,2/8/16 0:00,Rick Morales,78 minutes,Lego Scooby-Doo!: Haunted Hollywood,5/3/16 0:00,Rick Morales,75 minutes,0
864,30,34,Standoff,2/11/16 0:00,Adam Alleca,86 minutes,Standoff,1/3/16 0:00,Adam Alleca,86 minutes,1
1285,3640,41,The Huntsman: Winter's War,4/21/16 0:00,Cedric Nicolas-Troyan,121 minutes,The Huntsman: Winter's War,4/22/16 0:00,Cedric Nicolas-Troyan,114 minutes,1
1286,940,42,Nightcrawler,10/30/14 0:00,Dan Gilroy,117 minutes,Nightcrawler,10/31/14 0:00,Dan Gilroy,117 minutes,1
1382,5488,43,Into The Storm,8/7/14 0:00,Steven Quale,89 minutes,Into the Storm,8/8/14 0:00,Steven Quale,89 minutes,1
1583,1100,49,Frank Miller's Sin City: A Dame to Kill For,8/21/14 0:00,"Robert Rodriguez, Frank Miller (II), Frank A Miller, Frank Miller",102 minutes,To Kill a Mockingbird,12/25/62 0:00,Robert Mulligan,129 minutes,0
1662,2281,50,Poltergeist,5/21/15 0:00,Gil Kenan,1 minutes,Poltergeist,5/22/15 0:00,Gil Kenan,93 minutes,1
1711,2077,56,Backtrack,2/25/16 0:00,Michael Petroni,90 minutes,Backtrack,4/18/15 0:00,Michael Petroni,90 minutes,1
1911,1933,57,The Keeper of Lost Causes (Kvinden i buret),6/16/16 0:00,Mikkel Norgaard,97 minutes,The Keeper of Lost Causes,10/10/13 0:00,Mikkel NÂ¿rgaard,100 minutes,0
1913,3970,58,The World's End,8/22/13 0:00,Edgar Wright,109 minutes,The World's End,8/23/13 0:00,Edgar Wright,109 minutes,1
2034,7046,60,Barbie Mariposa and Her Butterfly Fairy Friends,"Dec 31,9999","William Lau, Conrad Helten",79 minutes,Barbie as The Princess & the Pauper,9/28/04 0:00,William Lau,85 minutes,0
2085,2669,60,Barbie In A Mermaid Tale 2,2/3/12 0:00,William Lau,75 minutes,Barbie as The Princess & the Pauper,9/28/04 0:00,William Lau,85 minutes,0
2098,7156,61,Battlestar Galactica: Blood & Chrome,"Dec 31,9999",Jonas Pate,91 minutes,Battlestar Galactica: Blood & Chrome,11/9/12 0:00,Jonas Pate,91 minutes,1
2123,2904,64,Her,12/17/13 0:00,Spike Jonze,126 minutes,Her,10/12/13 0:00,Spike Jonze,126 minutes,1
2171,3155,67,The Purge,6/6/13 0:00,James DeMonaco,85 minutes,The Purge: Anarchy,7/18/14 0:00,James DeMonaco,104 minutes,0
2232,3055,67,The Purge: Anarchy,7/17/14 0:00,James DeMonaco,104 minutes,The Purge: Anarchy,7/18/14 0:00,James DeMonaco,104 minutes,1
2259,2544,68,The Little Death,6/25/15 0:00,Josh Lawson (II),97 minutes,The Little Death,6/26/15 0:00,Josh Lawson (II),96 minutes,1
2430,2244,72,Jackass Presents: Bad Grandpa,10/24/13 0:00,Jeff Tremaine,92 minutes,Bad Grandpa,10/25/13 0:00,Jeff Tremaine,92 minutes,0
2726,4506,76,One More Time (When I Live My Life Over Again),4/7/16 0:00,Robert Edwards,97 minutes,Rogue One: A Star Wars Story,12/16/16 0:00,Gareth Edwards,0 minutes,0
2835,2258,80,The Lobster,5/12/16 0:00,Yorgos Lanthimos,118 minutes,The Lobster,9/27/15 0:00,Yorgos Lanthimos,118 minutes,1
2943,652,85,Monsters Wanted,"Dec 31,9999","Brian Cunningham, Joe Laughrey",0,Hero Wanted,3/28/08 0:00,Brian Smrz,95 minutes,0
2957,4487,85,UnHung Hero,12/5/13 0:00,Brian Spitz,84 minutes,Hero Wanted,3/28/08 0:00,Brian Smrz,95 minutes,0
3023,3355,86,Talihina Sky: The Story of Kings of Leon,"Dec 31,9999","Stephen Mitchell, Stephen C. Mitchell",87 minutes,The League of Extraordinary Gentlemen,7/11/03 0:00,Stephen Norrington,110 minutes,0
3041,4166,86,Dolly Parton's Coat of Many Colors,"Dec 31,9999",Stephen Herek,180 minutes,The League of Extraordinary Gentlemen,7/11/03 0:00,Stephen Norrington,110 minutes,0
3055,7139,86,The Poltergeist of Borley Forest,8/30/13 0:00,Stephen McKendree,102 minutes,The League of Extraordinary Gentlemen,7/11/03 0:00,Stephen Norrington,110 minutes,0
3058,7144,86,The Perks of Being a Wallflower,9/20/12 0:00,Stephen Chbosky,103 minutes,The League of Extraordinary Gentlemen,7/11/03 0:00,Stephen Norrington,110 minutes,0
3060,6611,86,Star of Midnight,4/18/35 0:00,"Stephen Roberts, Stephen R. Roberts",90 minutes,The League of Extraordinary Gentlemen,7/11/03 0:00,Stephen Norrington,110 minutes,0
3300,3876,89,Victor Frankenstein,11/24/15 0:00,Paul McGuigan,109 minutes,Victor Frankenstein,11/10/15 0:00,Paul McGuigan,109 minutes,1
3427,2119,90,Dark Tide,4/11/12 0:00,John Stockwell,103 minutes,After the Dark,2/7/14 0:00,John Huddles,100 minutes,0
3506,7066,90,After the Dark,2/6/14 0:00,John Huddles,107 minutes,After the Dark,2/7/14 0:00,John Huddles,100 minutes,1
3513,1244,90,Dark Power,"Dec 31,9999","John Milton Branton, Jeffrey C. Robinson",99 minutes,After the Dark,2/7/14 0:00,John Huddles,100 minutes,0
3549,1807,91,No Good Deed,9/11/14 0:00,Sam Miller,84 minutes,No Good Deed,9/12/14 0:00,Sam Miller,84 minutes,1
3566,558,91,Like There's No Tomorrow,"Dec 31,9999","Max Bervy, Warren Miller",98 minutes,No Good Deed,9/12/14 0:00,Sam Miller,84 minutes,0
3690,6133,93,Thunder and the House of Magic,9/4/14 0:00,"Ben Stassen, Jeremie Degruson, Jeremy Degruson",85 minutes,Tropic Thunder,8/13/08 0:00,Ben Stiller,107 minutes,0
3854,883,95,Harry Potter and the Deathly Hallows - Part 2,7/14/11 0:00,David Yates (II),131 minutes,Harry Potter and the Deathly Hallows: Part 2,7/15/11 0:00,David Yates,130 minutes,0
3988,2734,99,The Skeleton Twins,9/11/14 0:00,"Rian Johnson, Craig Johnson (IV)",93 minutes,The Skeleton Twins,9/12/14 0:00,"Rian Johnson, Craig Johnson (IV)",90 minutes,1
4068,1940,101,All Roads Lead to Rome,2/4/16 0:00,Ella Lemhagen,90 minutes,All Roads Lead to Rome,2/5/16 0:00,Ella Lemhagen,90 minutes,1
4183,1779,106,Cesar Chavez,3/27/14 0:00,Diego Luna,101 minutes,Cesar Chavez,3/28/14 0:00,Diego Luna,102 minutes,1
4352,142,110,The ABCs of Death,3/7/13 0:00,"Angela Bettis, Jake West, Tak Sakaguchi, Yudai Yamaguchi, Christopher Smith, Anders Morgenthaler, Simon Rumley, Banjong Pisanthanakun, Adrian Garcâ€™a Bogliano, Ti West, Xavier Gens, Andrew Traucki, Adam Wingard, Ernesto Dâ€™az Espinoza, Nacho Vigalondo, Noboru Iguchi, Jon Schnepp, Bruno Forzani, HÅ_lÂène Cattet, Yoshihiro Nishimura, Marcel Sarmiento, Jorge Michel Grau, Ben Wheatley, Srdjan Spasojevic, Thomas Malling Cappelen, Jason Eisener, Kaare Andrews, Simon Barrett, Timo Tjahjanto, Lee Hardcastle, Simon Barrette",129 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,0
4354,5521,110,Battle of the Year,9/19/13 0:00,Benson Lee,109 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,0
4362,4251,110,Paul Goodman Changed My Life,10/18/11 0:00,Jonathan Lee,89 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,0
4377,4283,110,The Return of Johnny V,"Dec 31,9999","Aaron Lopez, Aaron Lee Lopez, Ryan B. Young",90 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,0
4384,5574,110,Island of Lost Souls,2/8/07 0:00,"Nikolaj Arcel, Lee Sang-hoon II",100 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,0
4389,5715,110,Da Sweet Blood of Jesus,2/12/15 0:00,Spike Lee,123 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,0
4399,5094,110,Life of Pi,11/20/12 0:00,Ang Lee,127 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,1
4407,2682,110,The Age of Adaline,4/23/15 0:00,Lee Toland Krieger,112 minutes,Life of Pi,11/21/12 0:00,Ang Lee,127 minutes,0
4425,6259,112,The Grandmaster,8/22/13 0:00,Kar-Wai Wong,130 minutes,The Grandmaster,8/30/13 0:00,Kar-Wai Wong,130 minutes,1
4435,4360,113,Black Mountain Side,"Dec 31,9999",Nick Szostakiwskyj,99 minutes,Little Black Book,8/6/04 0:00,Nick Hurran,111 minutes,0
4703,7192,116,Knock Knock 2 (1666),"Dec 31,9999",Chris Sheng,84 minutes,Despicable Me 2,7/3/13 0:00,"Chris Renaud,Pierre Coffin",98 minutes,0
4754,5031,116,ABCs of Death 2,10/30/14 0:00,"Vincenzo Natali, Larry Fessenden, Various, Bill Plympton, Robert Morgan, Julian Gilbey, Todd Rohal, Julian Barratt, Chris Nash, Alexandre Bustillo, Erik Matti, Lancelot Oduwa Imasuen, Julien Maury, Rodney Ascher, Dennison Ramalho, Kristina Buozyte, Juan Martâ€™nez Moreno, Alejandro BruguÅ_s, Marvin Kren, Evan Katz, Jen Soska, Sylvia Soska , Rob Boocheck, Jerome Sable, Ahron Keshales, Navot Papushado, Bruno Samper, Jim Hosking, Sâ„¢ichi Umezawa, Steven Kostanski, Hajime Ohata",125 minutes,Despicable Me 2,7/3/13 0:00,"Chris Renaud,Pierre Coffin",98 minutes,0
4761,2622,116,Despicable Me 2,7/2/13 0:00,"Chris Renaud, Pierre Coffin",98 minutes,Despicable Me 2,7/3/13 0:00,"Chris Renaud, Pierre Coffin",98 minutes,1
4782,6237,117,Batman v Superman: Dawn of Justice,3/22/16 0:00,Zack Snyder,151 minutes,Legend of the Guardians: The Owls of Ga'Hoole,9/24/10 0:00,Zack Snyder,97 minutes,0
4783,63,117,Man of Steel,6/13/13 0:00,Zack Snyder,143 minutes,Legend of the Guardians: The Owls of Ga'Hoole,9/24/10 0:00,Zack Snyder,97 minutes,0
4925,5071,120,16 Acres,11/15/12 0:00,Richard Hankin,96 minutes,16 Blocks,3/3/06 0:00,Richard Donner,105 minutes,0
4998,4943,121,Doomsday Prophecy,"Dec 31,9999",Jason Bourque,92 minutes,Doomsday Prophecy,8/13/11 0:00,Jason Bourque,89 minutes,1
5044,828,122,I Don't Know How She Does It,9/15/11 0:00,Douglas McGrath,89 minutes,I Don't Know How She Does It,9/16/11 0:00,Douglas McGrath,89 minutes,1
5048,669,123,Declaration of War,1/26/12 0:00,ValÅ_rie Donzelli,100 minutes,Declaration of War,6/5/12 0:00,ValÅ_rie Donzelli,100 minutes,1
5056,3184,124,Halo 4: Forward Unto Dawn,12/3/12 0:00,Stewart Hendler,90 minutes,Halo 4: Forward Unto Dawn,10/5/12 0:00,Stewart Hendler,92 minutes,1
5256,7236,128,Catch .44,12/8/11 0:00,Aaron Harvey,93 minutes,Catch .44,12/9/11 0:00,Aaron Harvey,93 minutes,1
5724,23,138,Company of Heroes,"Dec 31,9999",Don Michael Paul,90 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5731,5666,138,World of the Dead: The Zombie Diaries 2,10/30/11 0:00,"Kevin Gates, Michael Bartlett",88 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5737,3638,138,Jarhead 2: Field of Fire,"Dec 31,9999",Don Michael Paul,103 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5746,6218,138,A Short History Of Decay,5/15/14 0:00,Michael Maren,93 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5757,2652,138,Transformers: Age of Extinction,6/26/14 0:00,Michael Bay,157 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,1
5758,5728,138,Berserk: The Golden Age Arc 2 - The Battle for Doldrey,"Dec 31,9999","Michael Sinterniklaas, Toshiyuki Kubooka",100 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5762,3692,138,Pathfinders: In the Company of Strangers,11/29/10 0:00,"Michael Conner Humphreys, Curt A. Sindelar",91 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5765,6265,138,A Conspiracy of Lies: Flight 370 to 911,"Dec 31,9999",Michael J. Long,58 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5766,2240,138,Scooby-Doo! Mask of the Blue Falcon,"Dec 31,9999",Michael Goguen,77 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5784,2215,138,13 Hours: The Secret Soldiers Of Benghazi,1/14/16 0:00,Michael Bay,144 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5789,5813,138,The Sweeter Side of Life,"Dec 31,9999",Michael Damian,81 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5794,4288,138,The Look of Love,7/4/13 0:00,Michael Winterbottom,105 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5795,705,138,Fifty Shades of Black,1/28/16 0:00,Michael Tiddes,93 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5800,1230,138,Seed of Darkness,"Dec 31,9999",Michael Chuah,101 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5802,5332,138,Decline Of An Empire,"Dec 31,9999",Michael Redwood,106 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5830,2326,138,"For Us, the Living: The Story of Medgar Evers","Dec 31,9999",Michael Schultz,84 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5835,4893,138,Beats Rhymes & Life: The Travels of a Tribe Called Quest,7/7/11 0:00,Michael Rapaport,98 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5836,2339,138,The Magic Of Heineken,10/1/14 0:00,Michael John Warren,79 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5857,7003,138,The Face Of An Angel,6/18/15 0:00,Michael Winterbottom,100 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5864,4973,138,Code of Honor,5/5/16 0:00,Michael Winnick,106 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5866,6969,138,The Best Of Me,10/16/14 0:00,Michael Hoffman,119 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5884,3492,138,Tales of the Night,9/25/12 0:00,"Michel Ocelot, Michael Ocelot",84 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5891,945,138,Loss of Life,"Dec 31,9999","David Damiata, Michael Matteo Rossi",78 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5892,4024,138,Open Sesame: The Story of Seeds,"Dec 31,9999","Michael Sean Kaminsky, M. Sean Kaminsky",82 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5894,5054,138,Ice Age: Continental Drift,7/12/12 0:00,"Steve Martino, Michael Thurmeier",87 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5898,4043,138,Rickover: The Birth of Nuclear Power,"Dec 31,9999",Michael Pack,116 minutes,Transformers: Age of Extinction,6/27/14 0:00,Michael Bay,165 minutes,0
5927,6422,139,Knock Knock,10/8/15 0:00,Eli Roth,99 minutes,Knock Knock,1/23/15 0:00,Eli Roth,99 minutes,1
5930,6722,140,I'm So Excited!,6/27/13 0:00,Pedro Almodâ€”var,90 minutes,I'm So Excited!,6/28/13 0:00,Pedro Almodâ€”var,90 minutes,1
5994,3562,142,31,10/20/16 0:00,Rob Zombie,103 minutes,31,1/23/16 0:00,Rob Zombie,102 minutes,1
6338,1511,147,Blue Jasmine,7/25/13 0:00,Woody Allen,98 minutes,Blue Jasmine,7/26/13 0:00,Woody Allen,98 minutes,1
6433,1386,150,Deathgasm,10/1/15 0:00,Jason Lei Howden,90 minutes,Deathgasm,10/2/15 0:00,Jason Lei Howden,86 minutes,1
6453,7208,151,Labor Day,1/30/14 0:00,Jason Reitman,110 minutes,Draft Day,4/11/14 0:00,Ivan Reitman,109 minutes,0
6455,1280,151,Draft Day,4/10/14 0:00,Ivan Reitman,109 minutes,Draft Day,4/11/14 0:00,Ivan Reitman,109 minutes,1
6456,1345,152,The Bible Belt Slasher Pt. II: The Holy Terror!,4/12/13 0:00,Bradley Creanzo,105 minutes,The Hunchback of Notre Dame II,3/19/02 0:00,Bradley Raymond,68 minutes,0
6499,1991,156,Promised Land,1/3/13 0:00,Gus Van Sant,106 minutes,Promised Land,12/28/12 0:00,Gus Van Sant,106 minutes,1
6533,2436,159,Steve McQueen: The Man & Le Mans,11/12/15 0:00,"Jon McKenna, Gabriel Clarke, John McKenna",112 minutes,Iron Man 2,5/7/10 0:00,Jon Favreau,124 minutes,0
6573,1132,159,Bomb It 2,9/30/10 0:00,Jon Reiss,67 minutes,Iron Man 2,5/7/10 0:00,Jon Favreau,124 minutes,0
6580,6806,159,Now You See Me 2,6/9/16 0:00,Jon M. Chu,115 minutes,Iron Man 2,5/7/10 0:00,Jon Favreau,124 minutes,0
6624,3704,163,Khumba,12/5/13 0:00,Anthony Silverston,85 minutes,Khumba,12/7/13 0:00,Anthony Silverston,85 minutes,1
6719,6399,166,Nine Miles Down,10/30/09 0:00,Anthony Waller,86 minutes,Nine Miles Down,10/1/09 0:00,Anthony Waller,86 minutes,1
6721,6021,167,Could This Be Love? (Je crois que je l'aime),2/7/07 0:00,"Pierre Jolivet, Cardinal Lamberto",88 minutes,Down by Love,3/2/16 0:00,Pierre Godeau,110 minutes,0
6943,4131,174,Killer Joe,7/26/12 0:00,William Friedkin,102 minutes,Killer Joe,7/27/12 0:00,William Friedkin,102 minutes,1
6986,1868,175,Nobody Walks,10/18/12 0:00,Ry Russo-Young,85 minutes,Nobody Walks,10/19/12 0:00,Ry Russo-Young,83 minutes,1
6992,6190,179,Dragon Blade (Tian jiang xiong shi),9/3/15 0:00,Daniel Lee,103 minutes,"Crouching Tiger, Hidden Dragon",10/9/00 0:00,Ang Lee,120 minutes,0
7051,4802,180,Take Me To The River,3/17/16 0:00,Matt Sobel,84 minutes,Let Me In,10/1/10 0:00,Matt Reeves,116 minutes,0
7226,2754,183,Friends With Kids,3/8/12 0:00,Jennifer Westfeldt,107 minutes,Friends with Kids,3/9/12 0:00,Jennifer Westfeldt,100 minutes,1
7308,3756,185,Hugo,11/22/11 0:00,Martin Scorsese,126 minutes,Hugo,11/23/11 0:00,Martin Scorsese,126 minutes,1
7325,4870,186,Cloned: The Recreator Chronicles,4/22/12 0:00,Gregory Orr,90 minutes,CLONED: The Recreator Chronicles,2/17/12 0:00,Gregory Orr,91 minutes,1
